Squad,# Pl,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
Amiens,1,28,28,2520,28.0,50,1.79,142,93,65.5,4,11,13,5,17.9,1,1,0,0,0.0
Angers,2,28,28,2520,28.0,33,1.18,90,57,66.7,11,6,11,12,42.9,3,3,0,0,0.0
Bordeaux,1,28,28,2520,28.0,34,1.21,108,74,70.4,9,10,9,6,21.4,3,2,1,0,33.3
Brest,2,28,28,2520,28.0,37,1.32,143,104,76.9,8,10,10,8,28.6,6,4,2,0,33.3
Dijon,2,28,28,2520,28.0,37,1.32,128,93,71.9,7,9,12,6,21.4,1,1,0,0,0.0
Lille,1,28,28,2520,28.0,27,0.96,83,58,72.3,15,4,9,12,42.9,6,4,1,1,20.0
Lyon,2,28,28,2520,28.0,27,0.96,97,73,74.2,11,7,10,9,32.1,3,2,0,1,0.0
Marseille,2,28,28,2520,28.0,29,1.04,99,71,74.7,16,8,4,11,39.3,5,4,1,0,20.0
Metz,2,28,28,2520,28.0,35,1.25,135,100,77.0,8,10,10,8,28.6,4,4,0,0,0.0
Monaco,1,28,28,2520,28.0,44,1.57,134,91,71.6,11,7,10,7,25.0,6,6,0,0,0.0
Montpellier,3,28,28,2517,28.0,34,1.22,132,98,76.5,11,7,10,8,28.6,5,3,2,0,40.0
Nantes,2,28,28,2520,28.0,31,1.11,101,68,72.3,11,4,13,10,35.7,6,3,2,1,40.0
Nice,2,28,28,2520,28.0,38,1.36,137,100,75.9,11,8,9,4,14.3,7,5,1,1,16.7
Nîmes,2,28,28,2520,28.0,44,1.57,127,84,68.5,7,6,15,7,25.0,4,4,0,0,0.0
Paris S-G,4,27,27,2430,27.0,24,0.89,81,58,70.4,22,2,3,14,51.9,0,0,0,0,
Reims,2,28,28,2520,28.0,21,0.75,91,66,79.1,10,11,7,12,42.9,6,2,4,0,66.7
Rennes,2,28,28,2520,28.0,24,0.86,98,73,78.6,15,5,8,10,35.7,5,3,2,0,40.0
Saint-Étienne,3,28,28,2520,28.0,45,1.61,125,80,68.0,8,6,14,5,17.9,6,5,0,1,0.0
Strasbourg,1,27,27,2430,27.0,32,1.19,104,71,75.0,11,5,11,8,29.6,7,6,1,0,14.3
Toulouse,3,28,28,2520,28.0,58,2.07,146,87,62.3,3,4,21,3,10.7,5,3,2,0,40.0
