Squad,# Pl,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
Amiens,1,28.0,50,1,1,12,1,40.8,0.29,-8.2,-0.29,194,462,42.0,562,93,47.7,38.4,255,76.1,51.0,425,10,2.4,10,0.36,11.8
Angers,2,28.0,33,3,2,1,0,27.8,0.28,-5.2,-0.19,134,369,36.3,528,126,39.8,35.9,222,71.6,50.2,362,19,5.2,22,0.79,15.1
Bordeaux,1,28.0,34,2,0,4,1,32.7,0.28,-0.3,-0.01,159,394,40.4,637,99,40.2,34.8,246,56.1,40.9,434,17,3.9,28,1.00,15.2
Brest,2,28.0,37,4,0,4,0,45.7,0.28,+8.7,+0.31,136,393,34.6,817,160,36.2,35.2,243,39.9,35.6,484,21,4.3,28,1.00,13.5
Dijon,2,28.0,37,1,2,5,2,28.8,0.22,-6.2,-0.22,198,464,42.7,814,170,38.2,31.3,249,61.4,45.6,469,32,6.8,22,0.79,14.0
Lille,1,28.0,27,4,1,1,3,25.0,0.25,+1.0,+0.04,130,390,33.3,563,137,44.0,37.2,200,71.0,52.4,323,11,3.4,24,0.86,17.0
Lyon,2,28.0,27,2,1,2,3,24.8,0.24,+0.8,+0.03,105,234,44.9,688,163,23.7,27.2,194,36.6,34.0,323,14,4.3,27,0.96,15.4
Marseille,2,28.0,29,4,0,2,2,32.5,0.29,+5.5,+0.20,120,377,31.8,728,140,38.6,25.0,160,60.0,43.8,341,21,6.2,24,0.86,16.2
Metz,2,28.0,35,4,0,5,0,32.6,0.22,-2.4,-0.09,200,623,32.1,708,106,60.9,43.8,219,87.7,59.1,482,32,6.6,33,1.18,14.1
Monaco,1,28.0,44,6,0,7,1,42.8,0.28,-0.2,-0.01,146,337,43.3,637,136,34.5,,212,55.2,42.3,394,20,5.1,39,1.39,
Montpellier,3,28.0,34,3,1,3,2,32.9,0.21,+0.9,+0.03,202,395,51.1,744,172,35.6,30.9,230,56.5,44.5,389,18,4.6,28,1.00,18.4
Nantes,2,28.0,31,3,0,3,1,29.2,0.24,-0.8,-0.03,150,465,32.3,704,133,44.9,46.2,198,75.3,51.0,392,10,2.6,31,1.11,10.0
Nice,2,28.0,38,5,0,6,2,43.5,0.28,+7.5,+0.27,56,172,32.6,621,155,17.4,24.4,228,28.1,30.0,454,15,3.3,17,0.61,13.3
Nîmes,2,28.0,44,4,1,4,1,36.4,0.27,-6.6,-0.24,156,450,34.7,589,84,48.7,40.9,214,76.2,51.9,328,11,3.4,31,1.11,14.3
Paris S-G,4,27.0,24,0,0,1,1,21.8,0.27,-1.2,-0.04,38,102,37.3,499,93,14.6,16.3,166,17.5,26.1,249,6,2.4,16,0.59,5.0
Reims,2,28.0,21,2,1,3,0,27.3,0.24,+6.3,+0.22,117,361,32.4,821,137,31.7,26.1,210,48.1,42.3,413,27,6.5,20,0.71,9.0
Rennes,2,28.0,24,3,1,4,1,26.1,0.22,+3.1,+0.11,176,392,44.9,718,123,37.0,33.4,199,63.3,44.2,414,35,8.5,25,0.89,14.6
Saint-Étienne,3,28.0,45,5,0,2,0,40.2,0.28,-4.8,-0.17,125,375,33.3,605,104,42.0,39.5,209,57.9,42.7,338,13,3.8,20,0.71,9.7
Strasbourg,1,27.0,32,6,0,3,0,33.4,0.26,+1.4,+0.05,199,458,43.4,651,111,49.3,39.6,201,68.2,51.3,335,17,5.1,9,0.33,11.0
Toulouse,3,28.0,58,3,1,3,1,44.0,0.27,-13.0,-0.47,222,586,37.9,739,96,51.4,38.2,286,72.0,49.9,437,17,3.9,28,1.00,16.1
