Squad,# Pl,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
Atalanta,27,38.0,1148,30.21,864,92,71,75,31,15,137,3.61,100,8,10,12,3,4
Bologna,29,38.0,879,23.13,615,101,40,54,53,16,79,2.08,57,9,3,4,4,2
Cagliari,30,38.0,757,19.92,541,96,24,48,34,14,64,1.68,43,8,3,5,4,1
Chievo,36,38.0,688,18.11,515,60,33,41,33,6,40,1.05,27,4,0,6,3,0
Empoli,29,38.0,787,20.71,587,55,56,47,30,12,85,2.24,62,5,9,5,4,0
Fiorentina,27,38.0,1002,26.37,722,92,56,69,45,18,69,1.82,44,2,10,6,6,1
Frosinone,33,38.0,789,20.76,558,89,25,44,62,11,48,1.26,28,6,3,7,4,0
Genoa,31,38.0,931,24.50,636,103,43,60,60,29,63,1.66,44,7,2,3,4,3
Inter,23,38.0,1129,29.71,866,98,42,67,38,18,98,2.58,66,8,6,9,7,2
Juventus,31,38.0,1103,29.03,816,87,53,72,58,17,108,2.84,71,7,4,14,9,3
Lazio,30,38.0,1093,28.76,834,81,53,64,44,17,89,2.34,60,7,7,9,4,2
Milan,23,38.0,1052,27.68,838,61,55,45,35,18,90,2.37,69,3,5,7,5,1
Napoli,26,38.0,1266,33.32,1045,55,56,58,27,25,129,3.39,100,5,7,11,4,2
Parma,31,38.0,601,15.82,383,63,54,42,45,14,61,1.61,30,6,7,9,8,1
Roma,26,38.0,1107,29.13,785,110,71,74,48,19,116,3.05,80,8,8,7,12,1
Sampdoria,24,38.0,838,22.05,642,54,35,44,44,19,104,2.74,81,2,7,6,8,0
Sassuolo,29,38.0,882,23.21,678,58,43,54,34,15,79,2.08,52,6,2,12,7,0
SPAL,28,38.0,831,21.87,604,83,33,40,57,14,82,2.16,50,14,4,5,9,0
Torino,25,38.0,916,24.11,646,99,56,49,51,15,86,2.26,55,10,4,5,9,3
Udinese,31,38.0,818,21.53,599,61,66,38,39,15,65,1.71,45,6,5,4,5,0
