Squad,# Pl,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
Atalanta,27,38.0,62,3,1,445,501,71,801,454,397,3,5,3,2247,628,551,53.3
Bologna,29,38.0,91,6,3,516,519,83,737,372,430,2,4,1,1877,748,716,51.1
Cagliari,30,38.0,94,9,5,573,454,58,794,344,388,3,10,2,1946,850,758,52.9
Chievo,36,38.0,110,7,6,588,476,78,677,471,374,3,4,2,1944,695,732,48.7
Empoli,29,38.0,73,3,1,458,440,77,636,333,328,5,8,2,1865,431,544,44.2
Fiorentina,27,38.0,89,5,2,562,507,48,780,413,371,5,6,3,1973,637,623,50.6
Frosinone,33,38.0,99,2,0,560,536,73,815,384,353,5,5,1,1873,621,715,46.5
Genoa,31,38.0,95,7,2,559,481,65,797,424,424,4,6,2,1981,758,749,50.3
Inter,23,38.0,73,3,2,468,488,64,1092,311,409,5,5,3,1995,519,589,46.8
Juventus,31,38.0,76,4,2,471,469,75,867,396,355,5,4,1,1946,534,469,53.2
Lazio,30,38.0,89,4,1,502,391,97,738,432,406,3,6,3,2112,612,539,53.2
Milan,23,38.0,80,5,2,445,478,63,752,373,382,2,5,1,1899,480,512,48.4
Napoli,26,38.0,72,5,3,410,414,85,774,358,359,0,4,0,2171,386,440,46.7
Parma,31,38.0,82,3,2,493,433,91,511,399,351,5,8,5,1785,561,615,47.7
Roma,26,38.0,88,2,2,461,395,50,855,419,344,5,7,1,1954,727,547,57.1
Sampdoria,24,38.0,89,3,3,493,510,70,641,364,425,7,8,1,2030,471,522,47.4
Sassuolo,29,38.0,87,8,3,528,528,73,660,378,328,4,8,2,1864,464,510,47.6
SPAL,28,38.0,112,3,1,499,550,37,863,388,374,7,5,0,1772,569,577,49.7
Torino,25,38.0,88,4,1,617,570,75,751,451,394,5,5,0,2193,824,838,49.6
Udinese,31,38.0,90,4,2,505,469,66,585,381,387,7,9,1,1833,693,662,51.1
